number,state,title,type,component
390,CLOSED,P2: Unify blocking I/O cancellation and timeout management in BlockingAdapterPool,(unclassified),(unclassified)
389,CLOSED,"feat: introduce unified Filter::Base interface for input, output, and tool result filtering",(unclassified),(unclassified)
388,CLOSED,CheckpointStore lacks explicit cleanup API for abandoned checkpoints,(unclassified),(unclassified)
387,CLOSED,Checkpoint has no idempotency key; the same checkpoint can be resumed multiple times,(unclassified),(unclassified)
386,CLOSED,"Checkpoint is missing checkpoint_id, agent_class, and a class-level resume method",(unclassified),(unclassified)
385,CLOSED,resume does not re-register suspension hook; cascading requires_approval tools bypass approval,(unclassified),(unclassified)
383,CLOSED,bug: McpTool instance missing `scope` method causes NoMethodError in examples,(unclassified),(unclassified)
382,CLOSED,"docs: fix misleading ""legacy thread-per-task mode"" label for :thread backend",(unclassified),(unclassified)
381,CLOSED,docs: remove Thread#kill example from Workflow parallel pattern section,(unclassified),(unclassified)
380,CLOSED,"docs: fix section heading ""Workflow Parallel Node"" to match Feature table rename",(unclassified),(unclassified)
379,CLOSED,docs: clarify Timeout.timeout risks in Cancellation section and Parallel Node example,(unclassified),(unclassified)
378,CLOSED,"docs: replace ""threads"" with ""executions"" in max_parallel_tools comment",(unclassified),(unclassified)
377,CLOSED,docs: fix stale runtime_backend comment in Configuration snippet,(unclassified),(unclassified)
376,CLOSED,"docs: reorganize README Feature table into sections and rename ""Workflow Parallel Node""",(unclassified),(unclassified)
375,CLOSED,docs: update ADR-010 backend landscape to reflect :thread default and named :fiber backend; soften non-goals language; fix ToolExecutor YARD term (#371 follow-up),(unclassified),(unclassified)
374,CLOSED,spec: add :fiber backend to EventLoop ThreadScheduler invariant spec (#370 follow-up),(unclassified),(unclassified)
373,CLOSED,docs: correct TimeoutError vs CancellationError semantics in PendingOperation#await YARD and ADR-004,(unclassified),(unclassified)
372,CLOSED,docs+ci: freeze public API surface — enumerate stable APIs in README and enforce @api private boundary in CI,(unclassified),(unclassified)
371,CLOSED,"docs+spec: clarify :fiber backend role as ""experimental validation backend"" and add regression spec (ADR-010)",(unclassified),(unclassified)
370,CLOSED,spec: enforce EventLoop is the only deliberate ThreadScheduler exception (ADR-010 Rule 2),(unclassified),(unclassified)
369,CLOSED,docs: specify cooperative await/timeout/cancellation semantics for PendingOperation#await,(unclassified),(unclassified)
368,CLOSED,"docs: document ToolExecutor non-goals — no CPU process pool, no external process manager",(unclassified),(unclassified)
367,CLOSED,cleanup: align `Runtime#tasks_waiting_over_threshold` name with snapshot key `non_yield_threshold_violation_count`,(unclassified),(unclassified)
366,CLOSED,cleanup: rename `thread_results` to `tool_results` in ParallelToolChat,(unclassified),(unclassified)
365,CLOSED,cleanup: remove mcp_tool.rb from THREAD_NEW_ALLOWLIST (final step after MCP transport PR),(unclassified),(unclassified)
364,CLOSED,"bug: `non_yield_duration_max_ms` metric key reports starvation count, not a duration in ms",(unclassified),(unclassified)
363,CLOSED,fix: thread_invariants_spec references stale `Phronomy::Task.spawn` — should say `Runtime.instance.spawn`,(unclassified),(unclassified)
362,CLOSED,"fix: ParallelToolChat#dispatch_parallel comment incorrectly claims ""no extra OS thread"" unconditionally",(unclassified),(unclassified)
361,CLOSED,Move Scheduler / FiberBackend / DeterministicScheduler to Advanced section in README,(unclassified),(unclassified)
360,CLOSED,Move mcp_tool.rb Thread creation to BlockingAdapterPool (pending MCP transport PR),(unclassified),(unclassified)
359,CLOSED,Replace Phronomy::Task.spawn examples in lib/ comments with Runtime.instance.spawn,(unclassified),(unclassified)
358,CLOSED,Deduplicate :cpu_bound / :external_process deprecation warnings in ToolExecutor,(unclassified),(unclassified)
357,CLOSED,Remove duplicate SchedulerReentrancyError definition in lib/phronomy.rb,(unclassified),(unclassified)
356,CLOSED,"Remove ""separate IO threads"" wording from EventLoop class opening comment",(unclassified),(unclassified)
355,CLOSED,"Fix misleading ""no extra OS thread"" comment for :cooperative mode in ToolExecutor",(unclassified),(unclassified)
354,CLOSED,Consolidate ParallelToolChat#execute_tool routing into ToolExecutor,(unclassified),(unclassified)
353,CLOSED,P2: Do not promote :fiber to production default — maintain :thread as the default runtime_backend,(unclassified),(unclassified)
352,CLOSED,P2: Do not implement CPU-bound process pool — :cpu_bound falls back to blocking_io with warning,(unclassified),(unclassified)
351,CLOSED,P2: Do not implement custom selector/nonblocking HTTP client — document BlockingAdapterPool as the boundary,(unclassified),(unclassified)
350,CLOSED,P1: Expand integration test coverage for :fiber backend without promoting it to default,(unclassified),(unclassified)
349,CLOSED,P1: Document EventLoop as an explicit threading exception to the cooperative model,(unclassified),(unclassified)
348,CLOSED,P1: Clarify PendingOperation#await cooperative timeout limitation,(unclassified),(unclassified)
347,CLOSED,P1: Document AsyncQueue#pop timeout semantics (wall-clock vs virtual time),(unclassified),(unclassified)
346,CLOSED,P1: Clarify execution_mode operational rules and add unsupported-mode warnings,(unclassified),(unclassified)
345,CLOSED,P1: Split Runtime internals into focused sub-components,(unclassified),(unclassified)
344,CLOSED,P0: Deprecate and remove :cooperative runtime_backend alias,(unclassified),(unclassified)
343,CLOSED,P0: Restrict public-facing concurrency API surface in docs and YARD,(unclassified),(unclassified)
342,CLOSED,P0: Remove thread-centric language from lib/ comments,(unclassified),(unclassified)
341,CLOSED,P0: Consolidate tool execution routing into a single ToolExecutor,(unclassified),(unclassified)
340,CLOSED,P0: Prohibit direct Phronomy::Task.spawn in lib/ normal execution paths,(unclassified),(unclassified)
339,CLOSED,test(integration): add agent workflow integration tests under :fiber backend — acceptance criteria for experimental → limited production promotion,(unclassified),(unclassified)
338,CLOSED,feat(runtime): implement BlockingAdapterPool — cooperative Fiber resume for blocking I/O (ADR-010 Rule 3),(unclassified),(unclassified)
337,CLOSED,feat(runtime): integrate fire_real_timers into EventLoop tick cycle — step 2 of TimerQueue scheduler-tick integration (Issue #331),(unclassified),(unclassified)
336,CLOSED,AsyncQueue#push blocks OS thread when SizedQueue is full — make cooperative push scheduler-aware (long-term),(unclassified),(unclassified)
335,CLOSED,FiberBackend#cancel! uses Fiber#raise (preemptive-style) — replace with cooperative checkpoint-based cancellation,(unclassified),(unclassified)
334,CLOSED,DeterministicScheduler is test-only today — promote to production cooperative runtime (long-term roadmap),(unclassified),(unclassified)
333,CLOSED,TaskGroup cooperative fail-fast path lacks completion-order semantics — sequential await underdelivers on non-preemptive cooperative model,(unclassified),(unclassified)
332,CLOSED,Retire :cooperative runtime_backend alias — remove or reassign when real cooperative scheduler lands,(unclassified),(unclassified)
331,CLOSED,TimerQueue should integrate with Runtime scheduler tick (long-term),(unclassified),(unclassified)
330,CLOSED,ConcurrencyGate should support cooperative suspension instead of thread-blocking wait,(unclassified),(unclassified)
329,CLOSED,AsyncQueue is not scheduler-aware (blocks OS thread on pop),(unclassified),(unclassified)
328,CLOSED,TaskGroup#await_all: replace watcher tasks with Task completion callbacks,(unclassified),(unclassified)
327,CLOSED,TaskGroup should use Runtime#spawn instead of Task.new directly,(unclassified),(unclassified)
326,CLOSED,Rename `:cooperative` backend to `:immediate` and reconsider production default,(unclassified),(unclassified)
325,CLOSED,enhancement: RAG knowledge fetch has redundant double-thread structure (TaskGroup task + BlockingAdapterPool worker),(unclassified),(unclassified)
324,CLOSED,enhancement: Agent#invoke creates an unnecessary thread boundary for synchronous callers,(unclassified),(unclassified)
323,CLOSED,enhancement: strict_runtime_guards should default to true in a future release (v1.0),(unclassified),(unclassified)
322,CLOSED,enhancement: AsyncQueue#pop blocks the underlying thread and lacks bounded backpressure for streaming,(unclassified),(unclassified)
321,CLOSED,enhancement: ConcurrencyGate and TaskGroup slot-wait block the underlying thread (not scheduler-aware),(unclassified),(unclassified)
320,CLOSED,enhancement: FakeScheduler should provide a tick-based deterministic cooperative scheduler,(unclassified),(unclassified)
319,CLOSED,bug: max_concurrent_rag_fetches gate (ConcurrencyGate :rag) is never applied during RAG fetch dispatch,(unclassified),(unclassified)
318,CLOSED,bug: TimerQueue — callback exception kills timer thread; schedule-after-shutdown silently drops timers,(unclassified),(unclassified)
317,CLOSED,bug: PendingOperation#await — multiple timeout cycles may increment abandoned_count multiple times,(unclassified),(unclassified)
316,CLOSED,bug: BlockingAdapterPool#shutdown may deadlock when SizedQueue is full,(unclassified),(unclassified)
315,CLOSED,bug: TaskGroup#fail_fast does not detect failures until front-of-queue task completes,(unclassified),(unclassified)
314,CLOSED,bug: Runtime task registry leaks completed tasks when using FakeScheduler (ImmediateBackend),(unclassified),(unclassified)
313,CLOSED,"P2: Add runtime_backend configuration to support Thread, cooperative Fiber, and deterministic test schedulers",(unclassified),(unclassified)
312,CLOSED,P2: Formalise and enforce sync/async API boundary — guard against invoke inside scheduler tasks,(unclassified),(unclassified)
311,CLOSED,"P1: Add blocking-boundary integration tests for Agent, Tool, RAG, and VectorStore",(unclassified),(unclassified)
310,CLOSED,"P1: Complete deterministic scheduler test infrastructure (tick, timer inspection, event ordering assertions)",(unclassified),(unclassified)
309,CLOSED,"P1: Add Thread-independence tests for cooperative backend (Agent, Tool, Orchestrator, Deadline)",(unclassified),(unclassified)
308,CLOSED,P1: Align trace tree with task parent/child hierarchy using InvocationContext task_id,(unclassified),(unclassified)
307,CLOSED,P1: Replace Thread-centric metrics with task-tree observability in Phronomy::Metrics,(unclassified),(unclassified)
306,CLOSED,P1: Implement cooperative scheduler yield points and fairness enforcement,(unclassified),(unclassified)
305,CLOSED,P1: Design and implement unified backpressure across all Runtime concurrency surfaces,(unclassified),(unclassified)
304,CLOSED,P1: Make VectorStore async backend pluggable — decouple from BlockingAdapterPool for native async clients,(unclassified),(unclassified)
303,CLOSED,P1: Parallelise RAG multi-source fetch using TaskGroup,(unclassified),(unclassified)
302,CLOSED,P1: Confine Thread.current usage to BlockingAdapterPool internals,(unclassified),(unclassified)
301,CLOSED,"P1: Promote InvocationContext to first-class public API on Agent, Workflow, and Tool",(unclassified),(unclassified)
300,CLOSED,P0: Replace synchronous Agent#invoke in subagent tools with invoke_async and context propagation,(unclassified),(unclassified)
299,CLOSED,P0: Complete Orchestrator migration to TaskGroup-based structured concurrency,(unclassified),(unclassified)
298,CLOSED,P0: Enforce WorkflowContext single-owner rule — only Workflow task may mutate context,(unclassified),(unclassified)
297,CLOSED,P0: Make Workflow entry/exit actions fully awaitable with timeout and cancellation,(unclassified),(unclassified)
296,CLOSED,"P0: Integrate EventLoop (queue, timer, current?) into Runtime ownership",(unclassified),(unclassified)
295,CLOSED,P0: Eliminate double-Thread structure in ParallelToolChat for blocking_io tools,(unclassified),(unclassified)
294,CLOSED,P0: Make Tool#call_async execution_mode-aware (route to pool vs cooperative task),(unclassified),(unclassified)
293,CLOSED,P0: Enforce execution_mode routing at runtime dispatch for all Tool invocations,(unclassified),(unclassified)
292,CLOSED,P0: Move streaming callbacks off BlockingAdapterPool worker threads via AsyncQueue,(unclassified),(unclassified)
291,CLOSED,P0: Invert invoke / invoke_async relationship — make invoke_async the primary async entry point,(unclassified),(unclassified)
290,CLOSED,P0: Connect invoke_timeout to full cancellation propagation (AgentFSM / LLM / Tool / RAG),(unclassified),(unclassified)
289,CLOSED,P0: Register AgentFSM as a proper Runtime scheduler task,(unclassified),(unclassified)
288,CLOSED,P0: Make BlockingAdapterPool await cooperative-scheduler-aware,(unclassified),(unclassified)
287,CLOSED,P0: Remove Timeout.timeout from BlockingAdapterPool — use library-native timeouts,(unclassified),(unclassified)
286,CLOSED,P0: Establish BlockingAdapterPool as the sole Thread-permitted zone,(unclassified),(unclassified)
285,CLOSED,P0: Move timer and deadline management to Runtime timer queue,(unclassified),(unclassified)
284,CLOSED,P0: Replace Thread::Queue with AsyncQueue in EventLoop and CancellationScope,(unclassified),(unclassified)
283,CLOSED,P0: Implement structured concurrency in TaskGroup,(unclassified),(unclassified)
282,CLOSED,P0: Elevate Runtime from factory to scheduler owner,(unclassified),(unclassified)
281,CLOSED,P0: Abstract Task backend to enable cooperative task execution,(unclassified),(unclassified)
280,CLOSED,P1: Isolate MCP transports behind BlockingAdapterPool — async or blocking-adapter pattern (pending #151 / #155 / #239),(unclassified),(unclassified)
279,CLOSED,"P2: Add blocking operation diagnostics — non-yielding section warning, debug dump, unsafe sync API detection",(unclassified),(unclassified)
278,CLOSED,"P2: Expose blocking/cooperative distinction in public API (invoke_async, execution_mode, runtime accessors)",(unclassified),(unclassified)
277,CLOSED,"P2: Represent trace context as a task tree with proper parent-child span nesting (task_id, parent_task_id)",(unclassified),(unclassified)
276,CLOSED,"P2: Replace thread-centric metrics with task-centric observability (event loop lag, blocking pool, task lifecycle)",(unclassified),(unclassified)
275,CLOSED,"P2: Add stress and resource leak tests — concurrent agents, timeout storm, pool saturation, shutdown drain",(unclassified),(unclassified)
274,CLOSED,"P2: Add real-backend integration tests — Redis, Pgvector, LLM, failure scenarios, pool saturation",(unclassified),(unclassified)
273,CLOSED,"P2: Introduce FakeClock and FakeScheduler for deterministic, timer-independent tests",(unclassified),(unclassified)
272,CLOSED,P2: Add tests verifying Thread.new is absent from core paths and bounded in BlockingAdapterPool,(unclassified),(unclassified)
271,CLOSED,"P1: Strengthen prompt injection / tool injection defenses — trust boundary, arg redaction, result size limit",(unclassified),(unclassified)
270,CLOSED,P1: Implement runtime Tool scope enforcement — connect scope metadata to approval policy,(unclassified),(unclassified)
269,CLOSED,"P1: Implement cooperative scheduler fairness — event loop lag measurement, yield points, starvation detection",(unclassified),(unclassified)
268,CLOSED,"P1: Introduce backpressure limits for active tasks, LLM requests, tool calls, and blocking I/O",(unclassified),(unclassified)
267,CLOSED,"P1: Place RAG / VectorStore blocking I/O (DB, Redis, embeddings) behind async boundary and BlockingAdapterPool",(unclassified),(unclassified)
266,CLOSED,P1: Introduce LLMAdapter abstraction to decouple agent pipeline from RubyLLM blocking client,(unclassified),(unclassified)
265,CLOSED,P1: Clarify WorkflowContext ownership — remove result_writer cross-thread mutation from AgentFSM,(unclassified),(unclassified)
264,CLOSED,P1: Make Workflow entry/exit actions awaitable to support async Agent/Tool/RAG composition,(unclassified),(unclassified)
263,CLOSED,P1: Add execution_mode attribute to Tool::Base for cooperative / blocking_io / cpu_bound routing,(unclassified),(unclassified)
262,CLOSED,"P1: Separate sync invoke and async invoke_async APIs for Agent, Workflow, and Tool",(unclassified),(unclassified)
261,CLOSED,P0: Unify timeout and cancellation via CancellationScope and Deadline (structured cancellation),(unclassified),(unclassified)
260,CLOSED,P0: Replace Thread.current context propagation with explicit InvocationContext,(unclassified),(unclassified)
